"seed","converged","logLik","grad_norm","hessian_ok","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","gamma0","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8"
54,TRUE,-891.714132649767,0.0263918493300372,TRUE,1.45232055792502,0.328648145795648,0.105873735659855,0.393421685187851,0.2152979236178,0.351647823070174,0.320471856916741,0.349161031826655,0.335222705998012,-0.487459911615558,-0.0868576546744744,0.295283521697477,0.147408666442103,0.287214835080153,0.130640112702366,0.0593224823519765,0.167889534627885,0.456545029870589
55,TRUE,-891.714132884326,0.0266434747988597,TRUE,1.4523422904319,0.328614326968978,0.105845444833794,0.393388260297903,0.215276832408076,0.351656942919553,0.320498237707367,0.349191359505215,0.335251759359626,-0.487424967445287,-0.0868693463623251,0.295308784906714,0.147471268050851,0.287279978749154,0.13063927756356,0.0592754545247238,0.167837686854192,0.456450076658277
56,TRUE,-891.714132454506,0.0108234158807755,TRUE,1.45231509202919,0.328643404417954,0.10583954455374,0.393403962653632,0.215273262063152,0.351649728827496,0.32046521041129,0.3491693338183,0.335230003482897,-0.487459976868957,-0.0867231577312003,0.295246132018211,0.147391274014117,0.287202274676941,0.130679082957026,0.0591966594933887,0.167965343362668,0.456459475987889
57,TRUE,-891.714132151602,0.0166663409820718,TRUE,1.45230429041531,0.328630890812122,0.105848507908692,0.393426866887882,0.21526733985527,0.351664471561645,0.320469670963331,0.34914407639469,0.335224100745266,-0.48751448866586,-0.0868506252026134,0.295363205763081,0.147383586199945,0.287252223150845,0.130687448944125,0.0592318135440177,0.167934884192366,0.456506933301938
58,TRUE,-891.714131947896,0.00611461176675947,TRUE,1.45231853431721,0.328618656395302,0.105846790612639,0.393425844742283,0.215265457237846,0.351645182243589,0.32048951272481,0.349163115065665,0.33524399127507,-0.487497824868396,-0.0869075589333166,0.295357035603366,0.147423310059001,0.287303600210709,0.130569614589325,0.0592922208650204,0.167948754754193,0.45648386964261
59,TRUE,-891.71413204488,0.011429252785838,TRUE,1.45233823349623,0.328638218228073,0.105826455469369,0.39340019813186,0.215257242081998,0.351639596759542,0.320480180811805,0.349156558159753,0.335234432567354,-0.487428181001919,-0.0867683570734914,0.295254155758642,0.147384389016013,0.287293318383423,0.130628258963081,0.0592283190458594,0.167921225268991,0.456482957180313
60,TRUE,-891.714132116766,0.00841354651374849,TRUE,1.45230742907127,0.328627505815703,0.10584103313172,0.393420702588142,0.215257444115013,0.351667204942015,0.320475225297318,0.349157760866947,0.335252116851936,-0.487545822327142,-0.0868386124051515,0.295313351589206,0.147410610193911,0.287224258469689,0.130711536337399,0.0592788183406955,0.167916340443708,0.456547398549646
61,TRUE,-891.71413265376,0.0176767062391935,TRUE,1.4523200772974,0.328615759784413,0.105845338689854,0.393428819088741,0.215256022290279,0.351673317368653,0.320476782149163,0.349195637178816,0.335244836344583,-0.487444442212349,-0.0868777434801693,0.295335909541463,0.147480751544976,0.287199550845775,0.130658266833533,0.0591361534947383,0.167977275300849,0.456438339117286
62,TRUE,-891.714132994276,0.0144924057283189,TRUE,1.45230222299811,0.328636953941696,0.105836560431455,0.393425468524847,0.215246777284273,0.351675376791623,0.320499483846377,0.349178524436462,0.335256413479258,-0.487541801768707,-0.0867573159124074,0.295174875834205,0.147489538045282,0.287190568946417,0.130644396001355,0.0593163282537904,0.167935206949264,0.456572270060845
63,TRUE,-891.714132034007,0.0108809240339116,TRUE,1.45231480784601,0.328630136883003,0.105852021179698,0.393420791040938,0.215287581040039,0.351661012312863,0.320490570128616,0.349173508504008,0.335234166746397,-0.48751030391236,-0.086863639628088,0.295365677772167,0.147418057278141,0.287310078043416,0.130660239192514,0.0592815688038812,0.167962468965909,0.456476256227919
64,TRUE,-891.714132105215,0.0136049652602832,TRUE,1.45232986638168,0.328608320808467,0.105846368310149,0.393397105335947,0.215284089761611,0.351640421711789,0.32048051014041,0.349178235378026,0.335254368371219,-0.487379857368473,-0.0868377762923867,0.295300771715189,0.147365671243673,0.287270731001077,0.13063660690655,0.0592671081011375,0.167930824384129,0.456418969405359
65,TRUE,-891.71413225407,0.00999315171941939,TRUE,1.45233300274679,0.328620076243185,0.105842039406643,0.393417294418937,0.215267351947771,0.351656412833523,0.320457368295464,0.349163976495393,0.335228980426273,-0.487366269568451,-0.0868122739788547,0.295275902239624,0.147473226581576,0.287209764591288,0.130609907756782,0.059278534335847,0.16787878706798,0.456422490726369
